Title,Score,Release_Date,Episodes,Genres,Studios,Era_Category
Dushi Gu Xian Yi,6.74,2024-10-02,0,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Medical', 'Sci-Fi', 'Time Travel']",['Xing Yi Kai Chen'],Recent/Airing
Sore Ike! Anpanman,6.74,1988-10-03,0,"['Comedy', 'Fantasy', 'Kids']",['TMS Entertainment'],Recent/Airing
Mahou no Shimai Lulutto Lilly,6.72,2026-04-05,12,['Mahou Shoujo'],['Studio Pierrot'],Recent/Airing
Sou Shen Ji (ONA),6.7,2026-03-25,24,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']",['CG Year'],Recent/Airing
Dungeons & Television,6.69,2025-08-09,0,"['Adventure', 'Fantasy']",[],Recent/Airing
Mofusand,6.65,2025-12-22,0,"['Comedy', 'Pets']","[""Monster's Egg""]",Recent/Airing
Tom to Jerry Gokko,6.65,2022-11-11,0,"['Comedy', 'Kids']","['Fanworks', 'Studio Nanahoshi']",Recent/Airing
Enter The Garden,6.64,2024-05-01,3,[],[],Recent/Airing
Snowball Earth,6.64,2026-04-03,13,"['Adventure', 'Mecha', 'Sci-Fi', 'Seinen']",['Studio KAI'],Recent/Airing
"Megami ""Isekai Tensei Nani ni Naritai desu ka"" Ore ""Yuusha no Rokkotsu de""",6.58,2026-04-08,12,"['Comedy', 'Fantasy', 'Isekai', 'Parody', 'Reincarnation']","['Qzil.la', 'S.o.K']",Recent/Airing
Candy Caries,6.55,2026-04-16,0,"['Comedy', 'Fantasy']",['Wit Studio'],Recent/Airing
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou 3rd Season,6.54,2026-04-01,12,"['Comedy', 'Fantasy', 'Isekai', 'Reincarnation']","['Studio Gokumi', 'AXsiZ']",Recent/Airing
Kuroneko to Majo no Kyoushitsu,6.54,2026-04-12,0,"['Comedy', 'Fantasy', 'School']",['LIDENFILMS'],Recent/Airing
Holo no Graffiti Specials,6.53,2019-04-29,0,['Comedy'],['Hololive Production'],Recent/Airing
Ani x Para: Anata no Hero wa Dare desu ka,6.51,2017-11-10,0,"['Educational', 'Sports']","['Nippon Animation', 'Gallop', 'TMS Entertainment', 'SynergySP', 'DLE', 'Bandai Namco Pictures']",Recent/Airing
Yuusha no Kuzu,6.51,2026-01-11,24,"['Action', 'Organized Crime', 'Super Power']",['OLM'],Recent/Airing
"Tadaima, Ojamasaremasu!",6.47,2026-04-08,12,"['Adult Cast', 'Comedy', 'Otaku Culture', 'Romance', 'Shoujo']",['Tatsunoko Production'],Recent/Airing
Yowayowa Sensei,6.47,2026-04-11,12,"['Comedy', 'Ecchi', 'Love Status Quo', 'Romance', 'School', 'Shounen']","[""Brain's Base""]",Recent/Airing
Bonobono (TV 2016),6.43,2016-04-02,0,"['Anthropomorphic', 'Comedy']",['Eiken'],Recent/Airing
Ichijouma Mankitsugurashi!,6.42,2026-04-12,11,"['CGDCT', 'Comedy', 'Ecchi']",['PRA'],Recent/Airing
Hokuto no Ken: Fist of the North Star,6.4,2026-04-11,0,"['Action', 'Drama', 'Gore', 'Martial Arts', 'Sci-Fi', 'Shounen']",['TMS Entertainment'],Recent/Airing
Yu-Gi-Oh! Card Game: The Chronicles,6.39,2025-04-21,0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['Konami animation'],Recent/Airing
